chrom	start	end	tss	gene_id	locus_id	strand
chrI	289125	289251	289097	WBGene00016905	ztf-3	-
chrI	293207	293338	293340	WBGene00016902	C53D5.1	+
chrI	301526	301731	301708	WBGene00016902	C53D5.1	+
chrI	315503	315626	315521	WBGene00002077	imb-3	-
chrI	316155	316292	316156	WBGene00002077	imb-3	-
chrI	320965	321193	321150	WBGene00021660	Y48G1A.4	+
chrI	323535	323756	323598	WBGene00021660	Y48G1A.4	+
chrI	323535	323756	323545	WBGene00002079	xpo-2	-
chrI	347189	347418	347402	WBGene00021658	Y48G1A.2	+
chrI	347189	347418	347203	WBGene00021661	mbtr-1	-
chrI	347512	347590	347508	WBGene00021658	Y48G1A.2	+
chrI	348384	348483	348522	WBGene00021657	Y48G1A.1	+
chrI	348384	348483	348381	WBGene00021661	mbtr-1	-
chrI	364011	364109	364141	WBGene00020091	rnp-8	+
chrI	364278	364417	364354	WBGene00020091	rnp-8	+
chrI	378955	379103	379057	WBGene00006385	taf-4	+
chrI	381928	382059	381894	WBGene00004143	pqn-59	-
chrI	382456	382587	382589	WBGene00006385	taf-4	+
chrI	382456	382587	382468	WBGene00004143	pqn-59	-
chrI	395276	395406	395258	WBGene00020090	R119.5	-
chrI	397835	398008	397960	WBGene00021733	otub-2	+
chrI	418868	418978	418894	WBGene00021734	Y50C1A.2	-
chrI	419191	419354	419363	WBGene00021734	Y50C1A.2	-
chrI	432150	432262	432266	WBGene00006593	tol-1	+
chrI	461696	461801	461796	WBGene00021026	W04C9.4	+
chrI	477445	477631	477585	WBGene00021025	cutl-13	+
chrI	488368	488471	488488	WBGene00021024	W04C9.2	+
chrI	489880	490032	490016	WBGene00001814	haf-4	+
chrI	506300	506400	506442	WBGene00022034	deps-1	+
chrI	506300	506400	506271	WBGene00022036	Y65B4BL.4	-
chrI	518534	518716	518562	WBGene00022037	acs-13	-
chrI	519871	520043	519992	WBGene00022037	acs-13	-
chrI	520276	520603	520379	WBGene00022038	Y65B4BL.6	-
chrI	521453	521577	521439	WBGene00022038	Y65B4BL.6	-
chrI	529276	529391	529356	WBGene00022033	Y65B4BL.1	+
chrI	529531	529732	529722	WBGene00022033	Y65B4BL.1	+
chrI	529926	530046	530050	WBGene00022033	Y65B4BL.1	+
chrI	530228	530341	530258	WBGene00022033	Y65B4BL.1	+
chrI	530470	530618	530564	WBGene00022033	Y65B4BL.1	+
chrI	531633	531793	531785	WBGene00022033	Y65B4BL.1	+
chrI	533493	533616	533559	WBGene00022043	psf-3	+
chrI	534276	534383	534388	WBGene00022043	psf-3	+
chrI	535395	535511	535516	WBGene00022042	icd-2	+
chrI	536807	536945	536932	WBGene00007009	wwp-1	+
chrI	545802	545891	545895	WBGene00004235	ptr-21	+
chrI	547209	547345	547318	WBGene00004235	ptr-21	+
chrI	557304	557425	557425	WBGene00002393	lpr-1	+
chrI	562588	562806	562738	WBGene00022040	Y65B4BR.1	+
chrI	566528	566728	566567	WBGene00000434	ceh-9	-
chrI	575146	575328	575145	WBGene00001725	grl-16	-
chrI	608897	609063	608929	WBGene00002040	hum-7	-
chrI	618028	618164	618162	WBGene00018921	sago-2	+
chrI	636784	636890	636778	WBGene00022029	Y65B4A.6	-
chrI	640131	640256	640240	WBGene00022026	Y65B4A.2	+
chrI	649579	649717	649588	WBGene00022030	Y65B4A.7	-
chrI	653948	654115	654092	WBGene00022025	Y65B4A.1	+
chrI	663609	663714	663627	WBGene00022031	Y65B4A.8	-
chrI	663996	664098	663972	WBGene00022031	Y65B4A.8	-
chrI	680036	680225	680181	WBGene00021215	Y18H1A.11	+
chrI	716298	716436	716395	WBGene00004028	pif-1	+
chrI	716721	716836	716723	WBGene00021209	hgap-1	-
chrI	719947	720047	720033	WBGene00004028	pif-1	+
chrI	719947	720047	719967	WBGene00004332	rec-1	-
chrI	737595	737740	737727	WBGene00236789	Y18H1A.18	+
chrI	745485	745662	745661	WBGene00000624	col-47	+
chrI	745485	745662	745506	WBGene00000623	col-46	-
chrI	756962	757105	757093	WBGene00021212	Y18H1A.8	+
chrI	756962	757105	756948	WBGene00021213	Y18H1A.9	-
chrI	762056	762208	762115	WBGene00020283	T06A4.3	+
chrI	762056	762208	762220	WBGene00020282	mps-3	-
chrI	763414	763639	763623	WBGene00020283	T06A4.3	+
chrI	802005	802167	802044	WBGene00022518	zfh-2	+
chrI	812587	812798	812664	WBGene00022518	zfh-2	+
chrI	815708	815804	815773	WBGene00022518	zfh-2	+
chrI	833987	834089	834098	WBGene00022517	ZC123.1	+
chrI	836115	836291	836292	WBGene00022517	ZC123.1	+
chrI	851683	851810	851806	WBGene00022388	Y95B8A.8	+
chrI	851683	851810	851837	WBGene00022519	ZC123.4	-
chrI	852437	852542	852433	WBGene00022519	ZC123.4	-
chrI	852750	852847	852822	WBGene00022519	ZC123.4	-
chrI	853271	853372	853393	WBGene00022388	Y95B8A.8	+
chrI	879814	880065	880035	WBGene00022386	Y95B8A.6	+
chrI	881478	881639	881584	WBGene00022386	Y95B8A.6	+
chrI	882756	882899	882914	WBGene00022386	Y95B8A.6	+
chrI	882756	882899	882862	WBGene00022389	pde-6	-
chrI	895057	895162	895032	WBGene00022390	him-19	-
chrI	896023	896132	896065	WBGene00022390	him-19	-
chrI	927084	927316	927103	WBGene00022391	Y95B8A.12	-
chrI	929715	929877	929744	WBGene00022391	Y95B8A.12	-
chrI	935113	935268	935259	WBGene00022383	Y95B8A.2	+
chrI	936622	936802	936807	WBGene00022383	Y95B8A.2	+
chrI	938377	938598	938496	WBGene00022383	Y95B8A.2	+
chrI	957435	957594	957469	WBGene00003238	mig-1	-
chrI	973161	973278	973137	WBGene00018788	shc-1	-
chrI	973791	973931	973801	WBGene00018788	shc-1	-
chrI	978674	978825	978812	WBGene00018786	hmbx-1	+
chrI	984432	984608	984563	WBGene00018786	hmbx-1	+
chrI	987670	987793	987812	WBGene00018786	hmbx-1	+
chrI	989013	989148	989135	WBGene00018786	hmbx-1	+
chrI	1005990	1006168	1006167	WBGene00016931	C54G6.2	+
chrI	1014454	1014536	1014405	WBGene00016930	madf-6	-
chrI	1014572	1014741	1014686	WBGene00005002	spp-17	+
chrI	1014572	1014741	1014596	WBGene00016930	madf-6	-
chrI	1015060	1015195	1015046	WBGene00005002	spp-17	+
chrI	1017481	1017666	1017537	WBGene00021335	spp-23	+
chrI	1030126	1030229	1030195	WBGene00021329	Y34D9A.3	+
chrI	1030126	1030229	1030112	WBGene00021327	mrpl-38	-
chrI	1031869	1032068	1032051	WBGene00021329	Y34D9A.3	+
chrI	1033592	1033755	1033594	WBGene00004952	spd-1	-
chrI	1033945	1034088	1033957	WBGene00004952	spd-1	-
chrI	1034312	1034430	1034455	WBGene00021329	Y34D9A.3	+
chrI	1034312	1034430	1034296	WBGene00004952	spd-1	-
chrI	1038254	1038429	1038411	WBGene00021329	Y34D9A.3	+
chrI	1049247	1049361	1049393	WBGene00021331	glrx-10	+
chrI	1052229	1052370	1052210	WBGene00021333	Y34D9A.8	-
chrI	1061974	1062338	1062069	WBGene00021328	npr-23	+
chrI	1067084	1067199	1067105	WBGene00021334	vps-4	-
chrI	1068159	1068338	1068209	WBGene00001745	gsa-1	+
chrI	1068380	1068591	1068582	WBGene00001745	gsa-1	+
chrI	1069666	1069808	1069725	WBGene00021334	vps-4	-
chrI	1106500	1106689	1106614	WBGene00022838	ZK993.2	+
chrI	1106500	1106689	1106554	WBGene00019911	R06A10.4	-
chrI	1112303	1112519	1112397	WBGene00236809	ZK993.5	+
chrI	1128210	1128342	1128346	WBGene00022837	ceh-45	+
chrI	1156130	1156238	1156223	WBGene00004429	rpl-17	+
chrI	1156130	1156238	1156126	WBGene00000165	aps-3	-
chrI	1175385	1175573	1175450	WBGene00004880	smg-2	+
chrI	1175817	1175918	1175922	WBGene00004880	smg-2	+
chrI	1175817	1175918	1175836	WBGene00001816	haf-6	-
chrI	1217269	1217554	1217323	WBGene00195068	Y48G8AL.16	-
chrI	1229338	1229484	1229328	WBGene00021691	Y48G8AL.13	-
chrI	1230491	1230617	1230494	WBGene00021691	Y48G8AL.13	-
chrI	1230851	1231003	1230861	WBGene00021691	Y48G8AL.13	-
chrI	1231470	1231705	1231666	WBGene00021691	Y48G8AL.13	-
chrI	1271043	1271260	1271247	WBGene00021693	Y48G8AR.2	+
chrI	1271043	1271260	1271166	WBGene00001707	grh-1	-
chrI	1305359	1305463	1305422	WBGene00003400	dapk-1	+
chrI	1335227	1335393	1335346	WBGene00019674	K12C11.3	+
chrI	1340119	1340227	1340216	WBGene00004888	smo-1	+
chrI	1340496	1340705	1340579	WBGene00004888	smo-1	+
chrI	1361300	1361456	1361451	WBGene00022366	Y92H12BL.5	+
chrI	1392930	1393053	1392992	WBGene00022367	Y92H12BM.1	-
chrI	1394213	1394458	1394417	WBGene00022367	Y92H12BM.1	-
chrI	1415960	1416074	1415990	WBGene00022369	Y92H12BR.3	+
chrI	1415960	1416074	1415932	WBGene00022368	Y92H12BR.2	-
chrI	1416121	1416240	1416225	WBGene00022369	Y92H12BR.3	+
chrI	1416121	1416240	1416169	WBGene00022368	Y92H12BR.2	-
chrI	1435241	1435385	1435377	WBGene00022373	mrpl-15	+
chrI	1444177	1444414	1444298	WBGene00018159	F37F2.2	-
chrI	1453045	1453261	1453095	WBGene00001773	gst-25	-
chrI	1471107	1471291	1471287	WBGene00018579	acs-16	+
chrI	1481570	1481801	1481682	WBGene00001115	dyb-1	+
chrI	1514508	1514690	1514677	WBGene00022360	Y92H12A.4	+
chrI	1514508	1514690	1514566	WBGene00022361	Y92H12A.5	-
chrI	1559169	1559334	1559345	WBGene00005077	src-1	+
chrI	1562635	1562794	1562692	WBGene00005077	src-1	+
chrI	1581241	1581356	1581336	WBGene00022270	Y73E7A.3	+
chrI	1588242	1588354	1588362	WBGene00022270	Y73E7A.3	+
chrI	1598544	1598730	1598669	WBGene00022271	cpx-1	-
chrI	1610143	1610240	1610242	WBGene00044440	adpr-1	+
chrI	1610143	1610240	1610152	WBGene00022273	Y73E7A.6	-
chrI	1628652	1628770	1628731	WBGene00022268	Y73E7A.1	+
chrI	1628652	1628770	1628636	WBGene00000269	bre-4	-
chrI	1634508	1634702	1634691	WBGene00022274	Y73E7A.8	+
chrI	1651381	1651540	1651491	WBGene00003111	mab-20	-
chrI	1656726	1656985	1656769	WBGene00004168	pqn-88	-
chrI	1667379	1667504	1667466	WBGene00022155	Y71G12B.17	+
chrI	1676602	1676726	1676580	WBGene00185098	Y71G12B.35	-
chrI	1678967	1679149	1679118	WBGene00022154	drag-1	+
chrI	1697971	1698170	1698129	WBGene00006702	ubc-3	+
chrI	1701863	1701964	1701975	WBGene00022153	Y71G12B.13	+
chrI	1719143	1719318	1719268	WBGene00006771	tln-1	+
chrI	1720659	1720829	1720841	WBGene00006771	tln-1	+
chrI	1751115	1751205	1751178	WBGene00022150	Y71G12B.10	+
chrI	1751115	1751205	1751167	WBGene00022159	mppa-1	-
chrI	1778772	1778937	1778847	WBGene00022160	Y71G12B.25	-
chrI	1792649	1792772	1792782	WBGene00022146	Y71G12B.6	+
chrI	1793057	1793236	1793106	WBGene00022146	Y71G12B.6	+
chrI	1807956	1808122	1808095	WBGene00022144	pghm-1	+
chrI	1809729	1809931	1809795	WBGene00022162	Y71G12B.27	-
chrI	1815891	1816137	1816092	WBGene00022142	Y71G12B.2	+
chrI	1815891	1816137	1816091	WBGene00044349	Y71G12B.32	-
chrI	1823075	1823151	1823036	WBGene00022141	chaf-2	+
chrI	1823075	1823151	1823021	WBGene00044347	Y71G12B.30	-
chrI	1823231	1823341	1823328	WBGene00022141	chaf-2	+
chrI	1823231	1823341	1823263	WBGene00044347	Y71G12B.30	-
chrI	1825990	1826090	1825958	WBGene00044347	Y71G12B.30	-
chrI	1832637	1832740	1832740	WBGene00016907	C53H9.2	+
chrI	1832637	1832740	1832625	WBGene00044746	C53H9.3	-
chrI	1835128	1835213	1835197	WBGene00044746	C53H9.3	-
chrI	1835535	1835685	1835693	WBGene00001196	egl-30	+
chrI	1835535	1835685	1835525	WBGene00044746	C53H9.3	-
chrI	1841204	1841360	1841310	WBGene00044746	C53H9.3	-
chrI	1842429	1842594	1842429	WBGene00001309	emr-1	+
chrI	1852987	1853182	1853093	WBGene00044897	M01D7.9	-
chrI	1872597	1872702	1872640	WBGene00004743	scm-1	-
chrI	1873821	1874048	1873949	WBGene00022139	tub-2	+
chrI	1873821	1874048	1873935	WBGene00004743	scm-1	-
chrI	1895077	1895179	1895202	WBGene00022138	trpp-10	+
chrI	1895077	1895179	1895097	WBGene00022140	Y71G12A.4	-
chrI	1913980	1914144	1913965	WBGene00021768	Y51F10.7	-
chrI	1916767	1916983	1916963	WBGene00022138	trpp-10	+
chrI	1919271	1919456	1919376	WBGene00021768	Y51F10.7	-
chrI	1958492	1958608	1958626	WBGene00044438	Y51F10.11	+
chrI	1958492	1958608	1958505	WBGene00021771	spe-48	-
chrI	1977973	1978139	1978019	WBGene00021763	Y51F10.2	+
chrI	1978270	1978382	1978355	WBGene00021763	Y51F10.2	+
chrI	2002381	2002564	2002412	WBGene00021238	gap-3	-
chrI	2011302	2011446	2011312	WBGene00021238	gap-3	-
chrI	2019500	2019661	2019674	WBGene00021237	crtc-1	+
chrI	2026142	2026267	2026250	WBGene00021237	crtc-1	+
chrI	2045041	2045179	2045073	WBGene00021239	Y20F4.4	-
chrI	2045255	2045337	2045301	WBGene00021239	Y20F4.4	-
chrI	2061357	2061505	2061352	WBGene00021347	rpb-10	+
chrI	2064026	2064127	2064124	WBGene00021347	rpb-10	+
chrI	2064026	2064127	2064000	WBGene00021346	Y37E3.1	-
chrI	2064833	2064956	2064911	WBGene00021348	moag-4	+
chrI	2070844	2070953	2070952	WBGene00004014	phb-1	+
chrI	2070844	2070953	2070834	WBGene00021350	Y37E3.8	-
chrI	2095195	2095337	2095235	WBGene00021353	iglr-3	-
chrI	2097042	2097151	2097118	WBGene00003799	npp-13	+
chrI	2119374	2119533	2119526	WBGene00021354	fpn-1.1	-
chrI	2126832	2126967	2126943	WBGene00021355	Y37E3.17	+
chrI	2151771	2151916	2151801	WBGene00235158	Y37E3.30	-
chrI	2157131	2157292	2157203	WBGene00235158	Y37E3.30	-
chrI	2189467	2189615	2189578	WBGene00021009	afd-1	+
chrI	2247726	2247859	2247887	WBGene00017398	slc-17.6	+
chrI	2249243	2249376	2249332	WBGene00017398	slc-17.6	+
chrI	2273071	2273207	2273048	WBGene00000020	abt-2	-
chrI	2277062	2277186	2277067	WBGene00000020	abt-2	-
chrI	2280390	2280579	2280427	WBGene00021458	Y39G10AL.1	+
chrI	2291153	2291308	2291257	WBGene00021469	Y39G10AR.11	+
chrI	2291153	2291308	2291130	WBGene00000408	cdk-7	-
chrI	2292867	2293024	2292974	WBGene00021469	Y39G10AR.11	+
chrI	2292867	2293024	2292857	WBGene00000408	cdk-7	-
chrI	2299705	2299848	2299863	WBGene00021468	epg-2	+
chrI	2304252	2304372	2304409	WBGene00021470	tpxl-1	-
chrI	2306865	2306975	2306959	WBGene00021467	Y39G10AR.9	+
chrI	2306865	2306975	2306891	WBGene00002047	icp-1	-
chrI	2307222	2307333	2307283	WBGene00021467	Y39G10AR.9	+
chrI	2307222	2307333	2307195	WBGene00002047	icp-1	-
chrI	2312241	2312380	2312392	WBGene00021475	tbca-1	+
chrI	2313069	2313181	2313181	WBGene00021466	eif-2gamma	+
chrI	2316055	2316168	2316181	WBGene00021465	ekl-7	+
chrI	2321905	2322022	2321914	WBGene00003156	mcm-4	-
chrI	2322647	2322849	2322755	WBGene00219275	Y39G10AR.32	-
chrI	2322956	2323069	2323070	WBGene00219275	Y39G10AR.32	-
chrI	2333165	2333280	2333311	WBGene00021464	ugt-31	+
chrI	2333165	2333280	2333153	WBGene00021472	Y39G10AR.16	-
chrI	2342142	2342281	2342292	WBGene00021463	zeel-1	+
chrI	2393452	2393594	2393449	WBGene00021474	dot-1.1	-
chrI	2395019	2395239	2395082	WBGene00021474	dot-1.1	-
chrI	2401608	2401709	2401605	WBGene00021474	dot-1.1	-
chrI	2420325	2420409	2420374	WBGene00017734	F23C8.5	-
chrI	2421796	2421907	2421817	WBGene00017735	did-2	-
chrI	2428665	2428825	2428677	WBGene00017736	F23C8.7	-
chrI	2433706	2433812	2433789	WBGene00017733	ubxn-1	+
chrI	2433706	2433812	2433679	WBGene00017738	tipn-1	-
chrI	2436852	2436933	2436908	WBGene00017732	F23C8.3	+
chrI	2437049	2437163	2437151	WBGene00017732	F23C8.3	+
chrI	2437049	2437163	2437114	WBGene00255457	F23C8.14	-
chrI	2437577	2437716	2437593	WBGene00255457	F23C8.14	-
chrI	2464693	2464825	2464794	WBGene00002141	inx-19	-
chrI	2485598	2485700	2485712	WBGene00001232	eif-3.I	+
chrI	2485598	2485700	2485623	WBGene00022281	abtm-1	-
chrI	2489837	2490011	2489968	WBGene00021277	Y23H5B.6	+
chrI	2552927	2553097	2553033	WBGene00021272	Y23H5B.1	+
chrI	2580163	2580325	2580198	WBGene00000006	aat-5	-
chrI	2586276	2586398	2586276	WBGene00001404	fbp-1	-
chrI	2587372	2587473	2587340	WBGene00001404	fbp-1	-
chrI	2598509	2598694	2598664	WBGene00019461	K07A3.3	+
chrI	2603719	2603883	2603890	WBGene00000832	ctn-1	+
chrI	2605355	2605578	2605527	WBGene00000832	ctn-1	+
chrI	2620428	2620531	2620554	WBGene00021270	Y23H5A.3	+
chrI	2629201	2629303	2629227	WBGene00000800	cars-1	-
chrI	2629371	2629520	2629395	WBGene00000800	cars-1	-
chrI	2642442	2642538	2642511	WBGene00018230	mage-1	+
chrI	2657073	2657322	2657235	WBGene00018232	F40E3.5	-
chrI	2667921	2668059	2668041	WBGene00017979	F32B5.6	+
chrI	2668680	2668855	2668775	WBGene00017979	F32B5.6	+
chrI	2682953	2683148	2682967	WBGene00017980	F32B5.7	-
chrI	2688119	2688252	2688140	WBGene00000788	cpz-1	-
chrI	2689409	2689560	2689444	WBGene00000788	cpz-1	-
chrI	2690454	2690561	2690432	WBGene00000788	cpz-1	-
chrI	2697145	2697287	2697272	WBGene00017976	F32B5.2	+
chrI	2703269	2703459	2703463	WBGene00003006	lin-17	+
chrI	2706120	2706308	2706139	WBGene00003006	lin-17	+
chrI	2707229	2707346	2707334	WBGene00003006	lin-17	+
chrI	2726682	2726783	2726774	WBGene00004920	snr-7	+
chrI	2726682	2726783	2726694	WBGene00022128	Y71F9B.6	-
chrI	2727617	2727836	2727674	WBGene00022128	Y71F9B.6	-
chrI	2747774	2747972	2747838	WBGene00022129	lron-11	-
chrI	2758235	2758451	2758288	WBGene00004043	plk-2	-
chrI	2758685	2758794	2758735	WBGene00004043	plk-2	-
chrI	2776227	2776332	2776243	WBGene00004946	sop-3	-
chrI	2777474	2777625	2777452	WBGene00022131	Y71F9B.13	-
chrI	2778792	2778927	2778825	WBGene00022131	Y71F9B.13	-
chrI	2780111	2780232	2780105	WBGene00022131	Y71F9B.13	-
chrI	2786009	2786110	2786069	WBGene00020990	W03D8.9	-
chrI	2791501	2791653	2791647	WBGene00020989	W03D8.8	+
chrI	2800848	2801021	2800972	WBGene00002174	itx-1	+
chrI	2800848	2801021	2800919	WBGene00020985	W03D8.2	-
chrI	2818579	2818767	2818767	WBGene00044796	W03D8.11	+
chrI	2831508	2831661	2831529	WBGene00004077	pop-1	-
chrI	2845608	2845788	2845691	WBGene00021125	ccb-2	+
chrI	2857697	2857855	2857814	WBGene00022116	Y71F9AL.11	+
chrI	2857697	2857855	2857762	WBGene00021128	W10C8.5	-
chrI	2859861	2860011	2859862	WBGene00044433	W10C8.6	-
chrI	2861137	2861273	2861283	WBGene00022116	Y71F9AL.11	+
chrI	2861676	2861777	2861808	WBGene00022116	Y71F9AL.11	+
chrI	2861855	2862069	2861996	WBGene00022116	Y71F9AL.11	+
chrI	2876496	2876656	2876570	WBGene00022114	Y71F9AL.9	+
chrI	2876496	2876656	2876484	WBGene00004412	rpl-1	-
chrI	2876663	2876798	2876821	WBGene00022114	Y71F9AL.9	+
chrI	2876663	2876798	2876765	WBGene00004412	rpl-1	-
chrI	2887317	2887437	2887435	WBGene00022112	Y71F9AL.7	+
chrI	2887722	2887856	2887785	WBGene00022112	Y71F9AL.7	+
chrI	2890373	2890491	2890473	WBGene00022111	Y71F9AL.6	+
chrI	2901042	2901151	2901120	WBGene00001791	gst-43	+
chrI	2901042	2901151	2901030	WBGene00022119	copa-1	-
chrI	2924795	2924908	2924950	WBGene00022107	Y71F9AL.1	+
chrI	2924795	2924908	2924836	WBGene00004049	parp-1	-
chrI	2925121	2925232	2925182	WBGene00022107	Y71F9AL.1	+
chrI	2928141	2928262	2928233	WBGene00022122	trap-1	+
chrI	2928141	2928262	2928140	WBGene00004049	parp-1	-
chrI	2962430	2962570	2962453	WBGene00000237	bam-2	-
chrI	2985186	2985327	2985182	WBGene00022123	Y71F9AR.2	-
chrI	2995999	2996110	2996114	WBGene00001046	dnj-28	+
chrI	2995999	2996110	2996006	WBGene00022124	supr-1	-
chrI	2996306	2996435	2996441	WBGene00001046	dnj-28	+
chrI	3010415	3010566	3010584	WBGene00000625	col-48	+
chrI	3015424	3015530	3015540	WBGene00021843	Y54E10BR.4	+
chrI	3015424	3015530	3015454	WBGene00003186	mek-2	-
chrI	3015724	3015860	3015726	WBGene00003186	mek-2	-
chrI	3032871	3032974	3032988	WBGene00021841	Y54E10BR.2	+
chrI	3032871	3032974	3032914	WBGene00021845	rpb-7	-
chrI	3049459	3049581	3049444	WBGene00003387	mod-5	-
chrI	3059157	3059272	3059292	WBGene00021840	pign-1	+
chrI	3059157	3059272	3059147	WBGene00021846	ztf-23	-
chrI	3070059	3070275	3070244	WBGene00000205	arx-7	-
chrI	3094264	3094417	3094348	WBGene00003654	nhr-64	+
chrI	3096275	3096406	3096327	WBGene00019698	riok-1	-
chrI	3101789	3101958	3101959	WBGene00003654	nhr-64	+
chrI	3101789	3101958	3101773	WBGene00019698	riok-1	-
chrI	3103200	3103326	3103253	WBGene00003654	nhr-64	+
chrI	3110719	3110891	3110727	WBGene00195056	C45E1.5	-
chrI	3119096	3119254	3119116	WBGene00016663	C45E1.4	-
chrI	3137026	3137235	3137194	WBGene00000626	col-49	+
chrI	3140621	3140742	3140602	WBGene00045387	K09H9.8	-
chrI	3143141	3143311	3143176	WBGene00019597	K09H9.5	-
chrI	3147863	3147980	3147976	WBGene00019595	K09H9.2	+
chrI	3147863	3147980	3147860	WBGene00003062	lpd-6	-
chrI	3152132	3152249	3152217	WBGene00019594	K09H9.1	+
chrI	3152132	3152249	3152090	WBGene00019598	K09H9.7	-
chrI	3152468	3152668	3152555	WBGene00019594	K09H9.1	+
chrI	3152468	3152668	3152589	WBGene00019598	K09H9.7	-
chrI	3162552	3162673	3162684	WBGene00021829	mrpl-17	+
chrI	3162552	3162673	3162524	WBGene00006888	vbh-1	-
chrI	3176545	3176654	3176550	WBGene00021830	Y54E10A.10	-
chrI	3198983	3199103	3199013	WBGene00021832	Y54E10A.12	-
chrI	3205123	3205271	3205248	WBGene00021835	Y54E10A.17	+
chrI	3206482	3206622	3206576	WBGene00021835	Y54E10A.17	+
chrI	3210418	3210536	3210491	WBGene00001481	fog-1	+
chrI	3222998	3223171	3223059	WBGene00004404	rom-5	-
chrI	3228044	3228155	3228043	WBGene00000413	cdt-1	-
chrI	3246266	3246391	3246295	WBGene00021834	mab-31	-
chrI	3247928	3248016	3248053	WBGene00021834	mab-31	-
chrI	3248181	3248320	3248317	WBGene00021834	mab-31	-
chrI	3248621	3248793	3248666	WBGene00021834	mab-31	-
chrI	3249112	3249292	3249105	WBGene00021834	mab-31	-
chrI	3250690	3250787	3250799	WBGene00021834	mab-31	-
chrI	3265399	3265498	3265498	WBGene00020915	nol-5	+
chrI	3265399	3265498	3265411	WBGene00021552	zip-4	-
chrI	3266021	3266134	3266150	WBGene00020915	nol-5	+
chrI	3266021	3266134	3266040	WBGene00021552	zip-4	-
chrI	3266721	3266832	3266837	WBGene00020915	nol-5	+
chrI	3266721	3266832	3266721	WBGene00021552	zip-4	-
chrI	3267088	3267243	3267079	WBGene00020915	nol-5	+
chrI	3269131	3269309	3269171	WBGene00021552	zip-4	-
chrI	3281749	3281925	3281854	WBGene00004154	pqn-72	-
chrI	3282985	3283121	3282970	WBGene00004154	pqn-72	-
chrI	3287357	3287559	3287359	WBGene00020914	sulp-6	+
chrI	3297121	3297306	3297145	WBGene00020917	W01B11.6	-
chrI	3298233	3298484	3298379	WBGene00020913	W01B11.1	+
chrI	3298233	3298484	3298287	WBGene00020917	W01B11.6	-
chrI	3307946	3308104	3308027	WBGene00000036	ace-2	-
chrI	3316591	3316800	3316740	WBGene00000036	ace-2	-
